date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:57:28	2467/2467	---M--	200	added ('OK')	text/html	etag:%224620746-9a3-54650837eb340%22	http://schema.geolink.org/index.html	mirror/schema.geolink.org/index.html	(from )
21:57:29	292/292	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Aug%202018%2021:57:28%20GMT	http://schema.geolink.org/robots.txt		(from )
21:57:29	121220/121220	---M--	200	added ('OK')	text/css	etag:%224760063-1d984-529291833d000%22	http://schema.geolink.org/bootstrap/css/bootstrap.css	mirror/schema.geolink.org/bootstrap/css/bootstrap.css	(from http://schema.geolink.org/index.html)
21:57:31	398/398	---M--	200	added ('OK')	text/css	etag:%2247600b3-18e-546505fbb6d40%22	http://schema.geolink.org/css/starter-template.css	mirror/schema.geolink.org/css/starter-template.css	(from http://schema.geolink.org/index.html)
21:57:31	8984/8984	---M--	200	added ('OK')	text/html	etag:%22462075f-2318-5481953ed5bc0%22	http://schema.geolink.org/patterns/index.html	mirror/schema.geolink.org/patterns/index.html	(from http://schema.geolink.org/index.html)
21:57:32	4934/4934	---M--	200	added ('OK')	text/html	etag:%22462075e-1346-52a4d0711aac0%22	http://schema.geolink.org/voc/index.html	mirror/schema.geolink.org/voc/index.html	(from http://schema.geolink.org/index.html)
21:57:33	335/335	---M--	303	error ('See%20Other')	text/html	date:Wed,%2015%20Aug%202018%2021:57:33%20GMT	http://schema.geolink.org/1.0/base/main	mirror/schema.geolink.org/1.0/base/main	(from http://schema.geolink.org/index.html)
21:57:40	20335/20335	---M--	200	added ('OK')	text/plain	etag:%22476006c-4f6f-529291833d000%22	http://schema.geolink.org/bootstrap/fonts/glyphicons-halflings-regular.eot	mirror/schema.geolink.org/bootstrap/fonts/glyphicons-halflings-regular.eot	(from http://schema.geolink.org/bootstrap/css/bootstrap.css)
21:57:41	20335/20335	---M--	200	added ('OK')	text/plain	etag:%22476006c-4f6f-529291833d000%22	http://schema.geolink.org/bootstrap/fonts/glyphicons-halflings-regular.eot?	mirror/schema.geolink.org/bootstrap/fonts/glyphicons-halflings-regulard41d.eot	(from http://schema.geolink.org/bootstrap/css/bootstrap.css)
21:57:45	23320/23320	---M--	200	added ('OK')	text/plain	etag:%22476006b-5b18-529291833d000%22	http://schema.geolink.org/bootstrap/fonts/glyphicons-halflings-regular.woff	mirror/schema.geolink.org/bootstrap/fonts/glyphicons-halflings-regular.woff	(from http://schema.geolink.org/bootstrap/css/bootstrap.css)
21:57:46	62927/62927	---M--	200	added ('OK')	text/xml	etag:%224760069-f5cf-529291833d000%22	http://schema.geolink.org/bootstrap/fonts/glyphicons-halflings-regular.svg	mirror/schema.geolink.org/bootstrap/fonts/glyphicons-halflings-regular.svg	(from http://schema.geolink.org/bootstrap/css/bootstrap.css)
21:57:51	41280/41280	---M--	200	added ('OK')	text/plain	etag:%22476006a-a140-529291833d000%22	http://schema.geolink.org/bootstrap/fonts/glyphicons-halflings-regular.ttf	mirror/schema.geolink.org/bootstrap/fonts/glyphicons-halflings-regular.ttf	(from http://schema.geolink.org/bootstrap/css/bootstrap.css)
21:57:51	343/343	---M--	303	error ('See%20Other')	text/html	date:Wed,%2015%20Aug%202018%2021:57:51%20GMT	http://schema.geolink.org/1.0/pattern/agentrole	mirror/schema.geolink.org/1.0/pattern/agentrole	(from http://schema.geolink.org/patterns/index.html)
21:57:53	17396/17396	---M--	200	added ('OK')	text/html	date:Wed,%2015%20Aug%202018%2021:57:52%20GMT	http://schema.geolink.org/1.0/pattern/agentrole.html	mirror/schema.geolink.org/1.0/pattern/agentrole.html	(from http://schema.geolink.org/patterns/index.html)
21:57:55	127065/127065	---M--	200	added ('OK')	text/xml	etag:%2245e006d-1f059-54ea13ce69980%22	http://schema.geolink.org/1.0/base/main.owl	mirror/schema.geolink.org/1.0/base/main.owl	(from http://schema.geolink.org/index.html)
21:57:57	340/340	---M--	303	error ('See%20Other')	text/html	date:Wed,%2015%20Aug%202018%2021:57:55%20GMT	http://schema.geolink.org/1.0/pattern/cruise	mirror/schema.geolink.org/1.0/pattern/cruise.11.delayed	(from http://schema.geolink.org/patterns/index.html)
21:57:57	10657/10657	---M--	200	added ('OK')	text/xml	etag:%2245e0103-29a1-547665fcc15c0%22	http://schema.geolink.org/1.0/pattern/agentrole.owl	mirror/schema.geolink.org/1.0/pattern/agentrole.owl	(from http://schema.geolink.org/patterns/index.html)
21:57:59	30484/30484	---M--	200	added ('OK')	text/html	date:Wed,%2015%20Aug%202018%2021:57:57%20GMT	http://schema.geolink.org/1.0/pattern/cruise.html	mirror/schema.geolink.org/1.0/pattern/cruise.html	(from http://schema.geolink.org/patterns/index.html)
21:58:01	339/339	---M--	303	error ('See%20Other')	text/html	date:Wed,%2015%20Aug%202018%2021:58:01%20GMT	http://schema.geolink.org/1.0/pattern/event	mirror/schema.geolink.org/1.0/pattern/event	(from http://schema.geolink.org/patterns/index.html)
21:58:03	12558/12558	---M--	200	added ('OK')	text/html	date:Wed,%2015%20Aug%202018%2021:58:02%20GMT	http://schema.geolink.org/1.0/pattern/event.html	mirror/schema.geolink.org/1.0/pattern/event.html	(from http://schema.geolink.org/patterns/index.html)
21:58:07	28572/28572	---M--	200	added ('OK')	text/xml	etag:%2245e0110-6f9c-54812c31381c0%22	http://schema.geolink.org/1.0/pattern/cruise.owl	mirror/schema.geolink.org/1.0/pattern/cruise.owl	(from http://schema.geolink.org/patterns/index.html)
21:58:07	7481/7481	---M--	200	added ('OK')	text/xml	etag:%2245e0105-1d39-5476f508e5380%22	http://schema.geolink.org/1.0/pattern/event.owl	mirror/schema.geolink.org/1.0/pattern/event.owl	(from http://schema.geolink.org/patterns/index.html)
21:58:07	346/346	---M--	303	error ('See%20Other')	text/html	date:Wed,%2015%20Aug%202018%2021:58:07%20GMT	http://schema.geolink.org/1.0/pattern/fundingaward	mirror/schema.geolink.org/1.0/pattern/fundingaward	(from http://schema.geolink.org/patterns/index.html)
21:58:09	25215/25215	---M--	200	added ('OK')	text/html	date:Wed,%2015%20Aug%202018%2021:58:08%20GMT	http://schema.geolink.org/1.0/pattern/fundingaward.html	mirror/schema.geolink.org/1.0/pattern/fundingaward.html	(from http://schema.geolink.org/patterns/index.html)
21:58:13	344/344	---M--	303	error ('See%20Other')	text/html	date:Wed,%2015%20Aug%202018%2021:58:11%20GMT	http://schema.geolink.org/1.0/pattern/identifier	mirror/schema.geolink.org/1.0/pattern/identifier	(from http://schema.geolink.org/patterns/index.html)
21:58:13	16029/16029	---M--	200	added ('OK')	text/xml	etag:%2245e0106-3e9d-547719ea45680%22	http://schema.geolink.org/1.0/pattern/fundingaward.owl	mirror/schema.geolink.org/1.0/pattern/fundingaward.owl	(from http://schema.geolink.org/patterns/index.html)
21:58:15	7422/7422	---M--	200	added ('OK')	text/html	date:Wed,%2015%20Aug%202018%2021:58:13%20GMT	http://schema.geolink.org/1.0/pattern/identifier.html	mirror/schema.geolink.org/1.0/pattern/identifier.html	(from http://schema.geolink.org/patterns/index.html)
21:58:19	6084/6084	---M--	200	added ('OK')	text/xml	etag:%2245e0114-17c4-547fc218135c0%22	http://schema.geolink.org/1.0/pattern/identifier.owl	mirror/schema.geolink.org/1.0/pattern/identifier.owl	(from http://schema.geolink.org/patterns/index.html)
21:58:19	351/351	---M--	303	error ('See%20Other')	text/html	date:Wed,%2015%20Aug%202018%2021:58:17%20GMT	http://schema.geolink.org/1.0/pattern/informationobject	mirror/schema.geolink.org/1.0/pattern/informationobject	(from http://schema.geolink.org/patterns/index.html)
21:58:21	20237/20237	---M--	200	added ('OK')	text/html	date:Wed,%2015%20Aug%202018%2021:58:19%20GMT	http://schema.geolink.org/1.0/pattern/informationobject.html	mirror/schema.geolink.org/1.0/pattern/informationobject.html	(from http://schema.geolink.org/patterns/index.html)
21:58:25	346/346	---M--	303	error ('See%20Other')	text/html	date:Wed,%2015%20Aug%202018%2021:58:23%20GMT	http://schema.geolink.org/1.0/pattern/organization	mirror/schema.geolink.org/1.0/pattern/organization	(from http://schema.geolink.org/patterns/index.html)
